Average MSE,Number of Layers,Number of Nodes,Dropout Rate,Time Step
2.1464895830864616,5,50,0.1,10
3.383339110137798,5,50,0.2,10
1.5617795345739254,5,50,0.3,10
3.0869494505598176,5,75,0.1,10
4.1254487275711265,5,75,0.2,10
1.7336613169376498,5,75,0.3,10
5.196145849393763,5,100,0.1,10
4.4411913981007896,5,100,0.2,10
2.4227717447925663,5,100,0.3,10
2.0679988395594178,5,50,0.1,20
3.802968609666161,5,50,0.2,20
2.5148916856066945,5,50,0.3,20
5.59714187745442,5,75,0.1,20
3.6869588082800333,5,75,0.2,20
2.142553687651605,5,75,0.3,20
5.616871187061663,5,100,0.1,20
0.9233586245868608,5,100,0.2,20
3.6618108193514725,5,100,0.3,20
2.790200047057122,5,50,0.1,30
2.6177215820444335,5,50,0.2,30
2.9336623581099692,5,50,0.3,30
1.6044813666652844,5,75,0.1,30
2.760128258666103,5,75,0.2,30
2.8168542546930184,5,75,0.3,30
3.7323060569558266,5,100,0.1,30
1.303347272319011,5,100,0.2,30
0.8957388152587141,5,100,0.3,30
8.403019819665417,5,50,0.1,40
1.16348954681082,5,50,0.2,40
8.025696895128231,5,50,0.3,40
3.318698644426679,5,75,0.1,40
6.306085227715848,5,75,0.2,40
1.4454890817811166,5,75,0.3,40
0.9372901692400966,5,100,0.1,40
5.502712406037443,5,100,0.2,40
2.5817795503688252,5,100,0.3,40
2.3017403236078247,5,50,0.1,50
3.121536673511598,5,50,0.2,50
4.825464297826992,5,50,0.3,50
4.762716188477507,5,75,0.1,50
3.204393345504438,5,75,0.2,50
5.841225759981734,5,75,0.3,50
2.894166242872754,5,100,0.1,50
11.207842056273277,5,100,0.2,50
0.7666316948949299,5,100,0.3,50
4.617576193631405,7,50,0.1,10
7.124762786379729,7,50,0.2,10
3.544014321314114,7,50,0.3,10
6.9143143256349955,7,75,0.1,10
11.20355206770224,7,75,0.2,10
3.55404903790126,7,75,0.3,10
8.970107384993309,7,100,0.1,10
8.86261991495627,7,100,0.2,10
6.072342672649449,7,100,0.3,10
10.161182999963808,7,50,0.1,20
11.494118303241741,7,50,0.2,20
10.999470285032348,7,50,0.3,20
8.969365611858795,7,75,0.1,20
14.76681396777347,7,75,0.2,20
10.291948603095868,7,75,0.3,20
8.81072896321515,7,100,0.1,20
8.467826520433857,7,100,0.2,20
11.512381559535578,7,100,0.3,20
9.789489979811439,7,50,0.1,30
9.018295524137498,7,50,0.2,30
10.149397017587516,7,50,0.3,30
2.656970867799687,7,75,0.1,30
16.691428836982645,7,75,0.2,30
11.203937279197813,7,75,0.3,30
8.994354566097913,7,100,0.1,30
8.062522318101431,7,100,0.2,30
3.9317307903812244,7,100,0.3,30
8.329507426031084,7,50,0.1,40
9.776398312704808,7,50,0.2,40
11.85877301727881,7,50,0.3,40
2.8000951965397114,7,75,0.1,40
9.388981178120364,7,75,0.2,40
4.8926517383471095,7,75,0.3,40
2.012024326858448,7,100,0.1,40
8.833563709978822,7,100,0.2,40
7.247578372739822,7,100,0.3,40
2.835656486890804,7,50,0.1,50
11.776733026855988,7,50,0.2,50
13.8083687467026,7,50,0.3,50
1.0804374874125535,7,75,0.1,50
10.92339924351824,7,75,0.2,50
3.055142882363022,7,75,0.3,50
5.841303878372419,7,100,0.1,50
4.154292772959614,7,100,0.2,50
16.848138302036563,7,100,0.3,50
12.78181557496962,9,50,0.1,10
4.701195558768562,9,50,0.2,10
12.520449709147535,9,50,0.3,10
3.4708365755063957,9,75,0.1,10
11.314081412089319,9,75,0.2,10
9.852370209732282,9,75,0.3,10
12.221553811086254,9,100,0.1,10
12.160843823792034,9,100,0.2,10
10.65645757326823,9,100,0.3,10
6.80570585039297,9,50,0.1,20
12.67045876901378,9,50,0.2,20
10.365425630020587,9,50,0.3,20
7.166544674650748,9,75,0.1,20
14.123875499494966,9,75,0.2,20
7.737118884599376,9,75,0.3,20
16.54528072295973,9,100,0.1,20
13.845563835402674,9,100,0.2,20
10.988568673707327,9,100,0.3,20
4.262325268145061,9,50,0.1,30
12.226099038848387,9,50,0.2,30
4.62260338936219,9,50,0.3,30
10.875548730981672,9,75,0.1,30
14.389217556294234,9,75,0.2,30
16.81515003119506,9,75,0.3,30
14.095316762161765,9,100,0.1,30
17.0087242367994,9,100,0.2,30
9.696494242612713,9,100,0.3,30
13.404134663329906,9,50,0.1,40
4.9734468777017415,9,50,0.2,40
3.5582886881622238,9,50,0.3,40
4.259264237710563,9,75,0.1,40
13.444551513701892,9,75,0.2,40
17.02765094800018,9,75,0.3,40
17.81408137160133,9,100,0.1,40
17.02145413593943,9,100,0.2,40
17.81192997907976,9,100,0.3,40
6.379361838964618,9,50,0.1,50
3.035216054387911,9,50,0.2,50
2.85831246492152,9,50,0.3,50
18.29969283429879,9,75,0.1,50
5.8326526752712295,9,75,0.2,50
16.863450874326745,9,75,0.3,50
16.938430480694713,9,100,0.1,50
16.861890699823828,9,100,0.2,50
6.0731023819070895,9,100,0.3,50
11.658451201969456,11,50,0.1,10
13.02115481397851,11,50,0.2,10
15.589887981427912,11,50,0.3,10
9.368579376351331,11,75,0.1,10
16.244966254827993,11,75,0.2,10
5.803457004464282,11,75,0.3,10
16.767477872390497,11,100,0.1,10
11.904222027580023,11,100,0.2,10
16.29676047428272,11,100,0.3,10
11.284070123977408,11,50,0.1,20
11.363511274341938,11,50,0.2,20
8.166731642007493,11,50,0.3,20
17.25018566686214,11,75,0.1,20
16.467759620104385,11,75,0.2,20
16.759211926374725,11,75,0.3,20
16.844035337218187,11,100,0.1,20
16.56366934637246,11,100,0.2,20
13.355136369290319,11,100,0.3,20
17.100211710983213,11,50,0.1,30
8.686268938849901,11,50,0.2,30
14.188575288431865,11,50,0.3,30
16.89819737916355,11,75,0.1,30
16.948321906838437,11,75,0.2,30
8.741499723420104,11,75,0.3,30
17.484904885296952,11,100,0.1,30
16.994924696969882,11,100,0.2,30
16.732933041107678,11,100,0.3,30
6.83404582233837,11,50,0.1,40
17.076382708871098,11,50,0.2,40
14.080098315337262,11,50,0.3,40
17.012099972967214,11,75,0.1,40
17.043877208040747,11,75,0.2,40
15.178644297138376,11,75,0.3,40
17.584312136749503,11,100,0.1,40
17.77468442852478,11,100,0.2,40
13.782369703823276,11,100,0.3,40
12.725440530368354,11,50,0.1,50
13.28410334376891,11,50,0.2,50
3.7877058921063065,11,50,0.3,50
17.364909032800806,11,75,0.1,50
17.00295209146026,11,75,0.2,50
3.5654729124911735,11,75,0.3,50
16.900440640978417,11,100,0.1,50
13.792442799087986,11,100,0.2,50
13.675231869496514,11,100,0.3,50
16.230918801391336,13,50,0.1,10
16.273111158135954,13,50,0.2,10
9.726888477668098,13,50,0.3,10
16.62406233754537,13,75,0.1,10
6.777573505686262,13,75,0.2,10
12.411678189914962,13,75,0.3,10
12.718669282479924,13,100,0.1,10
6.470303650256938,13,100,0.2,10
13.080932002109632,13,100,0.3,10
4.904227117972961,13,50,0.1,20
16.497978639869803,13,50,0.2,20
3.5039494041489494,13,50,0.3,20
16.528686042497593,13,75,0.1,20
17.07355166710109,13,75,0.2,20
16.549815234245585,13,75,0.3,20
16.99873232171581,13,100,0.1,20
13.051914625783203,13,100,0.2,20
16.633734962345883,13,100,0.3,20
9.072350133707186,13,50,0.1,30
13.324088817850331,13,50,0.2,30
17.299625462006368,13,50,0.3,30
17.265476743272814,13,75,0.1,30
16.933184722692463,13,75,0.2,30
16.76991387816122,13,75,0.3,30
17.017413240635882,13,100,0.1,30
17.50975377254271,13,100,0.2,30
17.40590579530853,13,100,0.3,30
17.167995167453384,13,50,0.1,40
17.046295030767357,13,50,0.2,40
17.067737526304388,13,50,0.3,40
13.38650254284325,13,75,0.1,40
17.07895502060771,13,75,0.2,40
15.672101520620608,13,75,0.3,40
17.793858792544057,13,100,0.1,40
17.084860181760632,13,100,0.2,40
17.12665267898806,13,100,0.3,40
16.87788174397178,13,50,0.1,50
3.0828932902232324,13,50,0.2,50
17.16412472530939,13,50,0.3,50
17.262439496003054,13,75,0.1,50
3.993849632839279,13,75,0.2,50
3.772099275042974,13,75,0.3,50
17.503724363499323,13,100,0.1,50
17.564634763470035,13,100,0.2,50
14.495512627700812,13,100,0.3,50
16.54116431299758,15,50,0.1,10
16.19762619900773,15,50,0.2,10
16.175158588796613,15,50,0.3,10
7.8497257292337,15,75,0.1,10
16.153150027630733,15,75,0.2,10
16.18625321831115,15,75,0.3,10
16.270256287887513,15,100,0.1,10
13.051599591268248,15,100,0.2,10
16.34031261310082,15,100,0.3,10
16.639147169091782,15,50,0.1,20
10.09138287414581,15,50,0.2,20
16.927473285276335,15,50,0.3,20
16.80467309395514,15,75,0.1,20
16.567290848375514,15,75,0.2,20
16.797524216496125,15,75,0.3,20
17.310254879730284,15,100,0.1,20
16.914785887771824,15,100,0.2,20
12.948110637703525,15,100,0.3,20
17.319410482684596,15,50,0.1,30
17.342822427876378,15,50,0.2,30
