"Service","SageMaker($)","EC2-Other($)","EC2-Instances($)","VPC($)","EC2 Container Registry (ECR)($)","S3($)","API Gateway($)","Lambda($)","CloudWatch Events($)","Elastic File System($)","Tax($)","Key Management Service($)","CloudWatch($)","DynamoDB($)","Glue($)","Service Catalog($)","Total costs($)"
"Service total","17.5619454688","3.4002263566","0.9723570892","0.42066111","0.1394557402","0.0297917382","0.000362","0.0000596292","0.000029","0.0000031464","0","0","0","0","0","0","22.5248912786"
"2024-10-01","","","","","","","","","","","0","","","","","","0"
"2024-10-02","","","","","","","","","","","","","","","","","0"
"2024-10-03","","","","","","","","","","","","","","","","","0"
"2024-10-04","","","","","","","","","","","","","","","","","0"
"2024-10-05","","","","","","","","","","","","","","","","","0"
"2024-10-06","","","","","","","","","","","","","","","","","0"
"2024-10-07","","","","","","","","","","","","","","","","","0"
"2024-10-08","","","","","","","","","","","","","","","","","0"
"2024-10-09","","","","","","","","","","","","","","","","","0"
"2024-10-10","","","","","","","","","","","","","","","","","0"
"2024-10-11","","","","","","","","","","","","","","","","","0"
"2024-10-12","","","","","","","","","","","","","","","","","0"
"2024-10-13","","","","","","","","","","","","","","","","","0"
"2024-10-14","","","","","","","","","","","","","","","","","0"
"2024-10-15","","","","","","","","","","","","","","","","","0"
"2024-10-16","","","","","","","","","","","","","","","","","0"
"2024-10-17","","","","","","","","","","","","","","","","","0"
"2024-10-18","","","","","","","","","","","","","","","","","0"
"2024-10-19","","0.0432138583","0.0174322132","0.007675","","0.0003878","","","0.000002","","","","","","","","0.0687108715"
"2024-10-20","","0.0516129024","0.043442","0.018768055","0.0006162458","0.0003996013","0.000072","0","0.000002","","","0","0","","","","0.1149128045"
"2024-10-21","","0.0516129024","0.0175385504","0.007581945","0.0008834892","0.0002890461","0.000013","0","0.000001","","","","0","","","","0.0779199331"
"2024-10-22","","0.0516129024","","","0.0008834904","0.0000014795","","","","","","","0","","","","0.0524978723"
"2024-10-23","","0.0516129024","","","0.0008834904","0.0000014795","","","","","","","0","","","","0.0524978723"
"2024-10-24","","0.0516129024","0.0121864496","0.00533611","0.0008834904","0.0000014795","","","0.000001","","","","0","","","","0.0700214319"
"2024-10-25","","0.0516129024","","","0.0008834904","0.0000014795","","","","","","","0","","","","0.0524978723"
"2024-10-26","","0.0516129024","0.0377193372","0.01632083","0.0008834917","0.0004523591","0.000038","0","0.000001","","","","0","0","","","0.1070279204"
"2024-10-27","","0.0516129024","0.0081586628","0.00355","0.0008834904","0.0002131191","0.00001","0","0.000001","","","","0","0","","","0.0644291747"
"2024-10-28","","0.0516129024","0.0007604496","0.000354165","0.0008834904","0.0001000839","0.000002","0","0.000001","","","","0","0","","","0.0537140913"
"2024-10-29","","0.0516129024","","","0.0008834904","0.0000016839","","","","","","","0","0","","","0.0524980767"
"2024-10-30","","0.0516129024","","","0.0008834904","0.0000016839","","","","","","","0","0","","","0.0524980767"
"2024-10-31","","0.0494623648","","","0.0008834904","0.0000016839","","","","","","","0","0","","","0.0503475391"
"2024-11-01","","0.0533333328","","","0.0009129408","0.00000174","","","","","0","","0","0","","","0.0542480136"
"2024-11-02","2.2822938561","0.0559739947","0.0779938876","0.033743055","0.0021642902","0.00126354","","","0.000002","0.0000000888","","0","0","0","0","0","2.4534347124"
"2024-11-03","1.2186666672","0.0533333328","","","0.0026577984","0.0007982051","","","","0.0000001152","","","0","0","","","1.2754561187"
"2024-11-04","1.4463621008","0.0636259288","0.1509933372","0.06386528","0.0035753118","0.0013924051","0.000003","0","0.000002","0.0000001152","","","0","0","","","1.7298194789"
"2024-11-05","0.3521764172","0.0533333328","0.095236","0.042330555","0.0046753872","0.0007982028","","","","0.0000001152","","","0","0","","","0.5485500102"
"2024-11-06","0.1483512089","0.0562207163","0.0177222248","0.0077","0.0035359186","0.0009404028","0.000014","0","0.000001","0.0000001152","","","0","0","","","0.2344855866"
"2024-11-07","0.0186666672","0.1032670095","0.100926438","0.04358611","0.0038714929","0.0010498027","0.000018","0.0000092718","0.000002","0.0000001152","","0","0","0","","","0.2713969073"
"2024-11-08","0.2462446814","0.1066804168","0.0190562132","0.008293055","0.0049873821","0.0017678977","0.000048","0.0000092667","0.000002","0.0000001152","","0","0","0","","","0.3870890281"
"2024-11-09","0.0186666672","0.1066666656","","","0.0049873824","0.0007980495","","","","0.0000001152","","","0","0","","","0.1311188799"
"2024-11-10","0.0186666672","0.1066666656","0.0489068876","0.02116528","0.0049873824","0.0009754456","0.000004","0.0000005211","0.000001","0.0000001152","","","0","0","","","0.2013739647"
"2024-11-11","0.0186666672","0.1159779413","0.032857","0.014231945","0.004967156","0.0011750456","0.000027","0.0000087176","0.000001","0.0000001152","","","0","0","","","0.1879125879"
"2024-11-12","0.0186666672","0.1066687326","0.0436675504","0.018881945","0.00498738","0.0007980221","","","0.000001","0.0000001152","","","0","0","","","0.1936714125"
"2024-11-13","0.0186666672","0.1066666656","","","0.00498738","0.0007980221","","","","0.0000001152","","","0","0","","","0.1311188501"
"2024-11-14","0.0186666672","0.1066666656","","","0.00498738","0.0007980221","","","","0.0000001152","","","0","0","","","0.1311188501"
"2024-11-15","0.0186666672","0.1159808347","0.0559538876","0.024144445","0.0049635488","0.0011375047","0.000004","0.0000035639","0.000001","0.0000001152","","","0","0","","","0.2208555671"
"2024-11-16","0.1476165297","0.1131151686","0.0440606628","0.019075","0.0049946885","0.001842223","0.000038","0.0000107892","0.000001","0.0000001152","","","0","0","","","0.330754177"
"2024-11-17","0.0186666672","0.1066693009","0.0050653372","0.00227639","0.0050151887","0.0009300788","0.000002","0.0000004062","0.000001","0.0000001152","","","0","0","","","0.1386264842"
"2024-11-18","0.0186666672","0.1066666656","0.000841","0.000395835","0.0050151888","0.0007999467","","","0.000001","0.0000001152","","","0","0","","","0.1323864185"
"2024-11-19","0.0186666672","0.1066666656","","","0.0050151888","0.0007999467","","","","0.0000001152","","","0","0","","","0.1311485835"
"2024-11-20","0.0186666672","0.1066666656","","","0.0050151888","0.0007999467","","","","0.0000001152","","","0","0","","","0.1311485835"
"2024-11-21","0.0186666672","0.1066666656","","","0.0050151888","0.0007999467","","","","0.0000001152","","","0","0","","","0.1311485835"
"2024-11-22","0.0186666672","0.1066666656","","","0.0050151888","0.0007999467","","","","0.0000001152","","","0","0","","","0.1311485835"
"2024-11-23","0.0186666672","0.1066666656","","","0.0050151888","0.0007999467","","","","0.0000001152","","","0","0","","","0.1311485835"
"2024-11-24","0.0186666672","0.1066666661","0.0609998876","0.026380555","0.0050151888","0.0007999467","","","0.000001","0.0000001152","","","0","0","","","0.2185300266"
"2024-11-25","1.5143450954","0.1066666656","0.0113873372","0.004972225","0.0050151888","0.0017069467","0.00004","0.0000081902","0.000001","0.0000001152","","","0","0","","","1.6441427641"
"2024-11-26","2.7973333366","0.1066666656","","","0.0050151888","0.0009186779","0.000006","0.0000011628","","0.0000001152","","","0","0","","","2.9099411469"
"2024-11-27","2.7973333344","0.1066666656","0.0009408876","0.000454165","0.0050151888","0.0008481489","","","0.000001","0.0000001152","","","0","0","","","2.9112595055"
"2024-11-28","2.7973333431","0.1156281792","0.0685108876","0.029579165","0.0049946386","0.0016007489","0.000023","0.0000077397","0.000001","0.0000001152","","","0","0","","","3.0176788173"
"2024-11-29","1.5152222228","0.0266666664","","","0.0027165645","","","","","0.0000000624","","","0","0","","","1.5446055161"